type,fraud_label,feature,row_count,min_value,p50,p90,p95,p99,mean_value
CASH_OUT,Gian lận,destination_amount_residual,3980,0.0,0.0,0.010000000009313226,0.01000000024214387,248767.33459999997,14442.239110552826
CASH_OUT,Gian lận,destination_balance_delta,3980,-315226.07,443202.48500000004,4457228.283999997,7815734.590999966,10000000.0,1461270.0085075377
CASH_OUT,Gian lận,origin_amount_residual,3980,0.0,0.0,0.0,0.0,0.0,1350.7566457286432
CASH_OUT,Gian lận,origin_balance_delta,3980,0.0,436831.99,4448939.143999999,7782765.821499999,10000000.0,1450069.9790025125
CASH_OUT,Không gian lận,destination_amount_residual,70328,0.0,5.820766091346741e-11,0.010000000372792783,167107.85699999976,556977.1613999997,29499.713337646517
CASH_OUT,Không gian lận,destination_balance_delta,70328,-1311365.61,150586.28000000003,381868.743,476841.5414999998,807162.5158999914,191004.20774584802
CASH_OUT,Không gian lận,origin_amount_residual,70328,0.0,120623.42,330996.0780000001,404025.7855,551444.7644999995,148926.3141162837
CASH_OUT,Không gian lận,origin_balance_delta,70328,-26575.259999999995,494.0,80725.25200000001,129282.7499999998,257757.11999999982,25587.11194246957
TRANSFER,Gian lận,destination_amount_residual,3961,2.3283064365386963e-10,447474.67,4525901.25,7937954.2,10000000.0,1471043.8205225954
TRANSFER,Gian lận,destination_balance_delta,3961,-272024.32,0.0,0.0,0.0,0.0,3007.8738525624844
TRANSFER,Gian lận,origin_amount_residual,3961,0.0,0.0,0.0,0.0,9.313225746156903e-11,15008.647566271155
TRANSFER,Gian lận,origin_balance_delta,3961,0.0,441892.92,4454632.3,7788725.2,10000000.0,1457264.6836935116
TRANSFER,Không gian lận,destination_amount_residual,16702,0.0,1.1641532182693481e-10,6301.36400000001,229107.4434999997,1378840.3239000451,114570.58919530606
TRANSFER,Không gian lận,destination_balance_delta,16702,-953086.4099999999,498523.79000000004,1817556.512,2754746.1215,11301932.655500196,1005253.1363507365
TRANSFER,Không gian lận,origin_amount_residual,16702,0.0,454253.08,1698106.736,2574192.5159999975,9877241.870000005,872179.93728775
TRANSFER,Không gian lận,origin_balance_delta,16702,0.0,0.0,100190.9,190084.45949999976,432829.73000000167,33405.6049784457
