type,fraud_label,feature,rows,missing,zero_rate,negative_rate,mean,p50,p90,p95,p99,maximum
CASH_OUT,Gian lận,destination_amount_residual,3980,0,0.5276381909547738,0.0,14442.239110552826,0.0,0.010000000009313226,0.01000000024214387,248767.33459999997,8875516.29
CASH_OUT,Gian lận,destination_balance_delta,3980,0,0.0037688442211055275,0.006532663316582915,1461270.0085075377,443202.48500000004,4457228.283999997,7815734.590999966,10000000.0,14915111.47
CASH_OUT,Gian lận,origin_amount_residual,3980,0,0.9937185929648241,0.0,1350.7566457286432,0.0,0.0,0.0,0.0,577418.98
CASH_OUT,Gian lận,origin_balance_delta,3980,0,0.008542713567839196,0.0,1450069.9790025125,436831.99,4448939.143999999,7782765.821499999,10000000.0,10000000.0
CASH_OUT,Không gian lận,destination_amount_residual,70328,0,0.2681577749971562,0.0,29499.713337646517,5.820766091346741e-11,0.010000000372792783,167107.85699999976,556977.1613999997,26804108.6
CASH_OUT,Không gian lận,destination_balance_delta,70328,0,0.0005687635081333182,0.017773859629166194,191004.20774584802,150586.28000000003,381868.743,476841.5414999998,807162.5158999914,27421369.18
CASH_OUT,Không gian lận,origin_amount_residual,70328,0,0.05908030940734842,0.0,148926.3141162837,120623.42,330996.0780000001,404025.7855,551444.7644999995,2523516.26
CASH_OUT,Không gian lận,origin_balance_delta,70328,0,0.4597457627118644,1.4219087703332954e-05,25587.11194246957,494.0,80725.25200000001,129282.7499999998,257757.11999999982,664457.76
TRANSFER,Gian lận,destination_amount_residual,3961,0,0.0,0.0,1471043.8205225954,447474.67,4525901.25,7937954.2,10000000.0,10000000.0
TRANSFER,Gian lận,destination_balance_delta,3961,0,0.9926786165109821,0.00025246149962130775,3007.8738525624844,0.0,0.0,0.0,0.0,1933920.7999999998
TRANSFER,Gian lận,origin_amount_residual,3961,0,0.9899015400151477,0.0,15008.647566271155,0.0,0.0,0.0,9.313225746156903e-11,10000000.0
TRANSFER,Gian lận,origin_balance_delta,3961,0,0.004291845493562232,0.0,1457264.6836935116,441892.92,4454632.3,7788725.2,10000000.0,10000000.000000004
TRANSFER,Không gian lận,destination_amount_residual,16702,0,0.28691174709615613,0.0,114570.58919530606,1.1641532182693481e-10,6301.36400000001,229107.4434999997,1378840.3239000451,46392504.36
TRANSFER,Không gian lận,destination_balance_delta,16702,0,0.0001796192072805652,0.00898096036402826,1005253.1363507365,498523.79000000004,1817556.512,2754746.1215,11301932.655500196,76700306.35
TRANSFER,Không gian lận,origin_amount_residual,16702,0,0.021254939528200217,0.0,872179.93728775,454253.08,1698106.736,2574192.5159999975,9877241.870000005,47542583.98
TRANSFER,Không gian lận,origin_balance_delta,16702,0,0.5342473955214945,0.0,33405.6049784457,0.0,100190.9,190084.45949999976,432829.73000000167,1792330.95
