step,row_count,fraud_count,flagged_fraud_count,amount_sum,fraud_amount_sum,fraud_rate,fraud_per_10k,step_day,hour_of_day,period
1,2708,16,0,285429181.15,3740247.0100000002,0.005908419497784343,59.08419497784343,1,0,Ban đêm
2,1014,8,0,85921604.02,4186592.48,0.007889546351084813,78.89546351084813,1,1,Ban đêm
3,552,4,0,43293884.42,66832.74,0.007246376811594203,72.46376811594203,1,2,Ban đêm
4,565,10,0,72910028.57,26400274.9,0.017699115044247787,176.99115044247787,1,3,Ban đêm
5,665,6,0,45548089.75,381841.54,0.009022556390977444,90.22556390977444,1,4,Ban đêm
6,1660,22,0,164310551.22,974869.68,0.01325301204819277,132.5301204819277,1,5,Ban đêm
7,6837,12,0,832930814.24,12414694.06,0.0017551557700745941,17.551557700745942,1,6,Ban ngày
8,21097,12,0,3439602407.35,1589040.41,0.000568801251362753,5.6880125136275295,1,7,Ban ngày
9,37628,19,0,7008379239.43,11476630.219999999,0.0005049431274582757,5.049431274582757,1,8,Ban ngày
10,35991,11,0,7124214893.71,6935977.72,0.0003056319635464422,3.0563196354644218,1,9,Ban ngày
11,37241,7,0,7015066478.01,2589879.3600000003,0.0001879648774200478,1.879648774200478,1,10,Ban ngày
12,36153,14,0,6754284804.75,14576518.75,0.00038724310568970764,3.8724310568970766,1,11,Ban ngày
13,37515,14,0,6847540999.97,28794104.8,0.00037318405970944955,3.7318405970944957,1,12,Ban ngày
14,41485,12,0,6874186933.620001,17247375.5,0.0002892611787393034,2.892611787393034,1,13,Ban ngày
15,44609,20,0,7183723206.53,4648823.06,0.000448340021071981,4.48340021071981,1,14,Ban ngày
16,42471,10,0,6960084691.15,11763103.44,0.00023545478090932637,2.3545478090932637,1,15,Ban ngày
17,43361,7,0,7116325732.27,4323372.88,0.0001614353912502018,1.614353912502018,1,16,Ban ngày
18,49579,16,0,7255071578.26,10512215.64,0.0003227172794933339,3.227172794933339,1,17,Ban ngày
19,51352,11,0,7103846529.97,31410194.13,0.00021420782053279327,2.1420782053279326,1,18,Ban ngày
20,40625,4,0,5173930961.93,929279.76,9.846153846153846e-05,0.9846153846153847,1,19,Ban ngày
21,19152,5,0,2239833155.38,1910536.98,0.0002610693400167084,2.6106934001670843,1,20,Ban ngày
22,12635,23,0,1456148844.67,11429114.24,0.0018203403244954491,18.20340324495449,1,21,Ban ngày
23,6144,2,0,657117971.23,292254.2,0.0003255208333333333,3.255208333333333,1,22,Ban đêm
24,3216,6,0,392163044.05,2570053.96,0.0018656716417910447,18.65671641791045,1,23,Ban đêm
25,1598,18,0,190670809.59,8233325.96,0.011264080100125156,112.64080100125156,2,0,Ban đêm
26,440,12,0,53827747.85,6980314.9,0.02727272727272727,272.7272727272727,2,1,Ban đêm
27,41,8,0,10549062.83,5076953.26,0.1951219512195122,1951.219512195122,2,2,Ban đêm
28,4,4,0,8647152.219999999,8647152.219999999,1.0,10000.0,2,3,Ban đêm
29,4,4,0,1217680.46,1217680.46,1.0,10000.0,2,4,Ban đêm
30,8,8,0,975200.92,975200.92,1.0,10000.0,2,5,Ban đêm
31,12,12,0,12927128.040000001,12927128.040000001,1.0,10000.0,2,6,Ban ngày
32,12,12,0,9361820.08,9361820.08,1.0,10000.0,2,7,Ban ngày
33,23616,12,0,4235326534.63,62990086.160000004,0.0005081300813008131,5.081300813008131,2,8,Ban ngày
34,30904,22,0,5510123134.35,10074791.86,0.0007118819570282164,7.118819570282164,2,9,Ban ngày
35,29157,15,0,5295843667.35,28974163.02,0.000514456219775697,5.14456219775697,2,10,Ban ngày
36,39774,19,0,6832213559.91,12872293.770000001,0.00047769899934630664,4.776989993463067,2,11,Ban ngày
37,34000,13,0,5962020479.16,13887236.74,0.0003823529411764706,3.823529411764706,2,12,Ban ngày
38,31453,16,0,5242347779.469999,17970829.46,0.0005086955139414365,5.086955139414365,2,13,Ban ngày
39,23391,12,0,3777663323.28,20914856.86,0.0005130178273695011,5.130178273695011,2,14,Ban ngày
40,34270,14,0,5610763049.04,18491800.56,0.0004085205719288007,4.085205719288007,2,15,Ban ngày
41,36348,12,0,5788068602.39,13273124.9,0.0003301419610432486,3.301419610432486,2,16,Ban ngày
42,41304,14,0,6360574481.6,25926526.46,0.0003389502227387178,3.3895022273871778,2,17,Ban ngày
43,45060,13,0,6511754245.67,3982938.3500000006,0.00028850421660008875,2.8850421660008876,2,18,Ban ngày
44,38523,8,0,4830178103.07,5233198.54,0.00020766814630220908,2.0766814630220907,2,19,Ban ngày
45,18500,16,0,2159618105.61,38916438.66,0.0008648648648648649,8.64864864864865,2,20,Ban ngày
46,12445,14,0,1396954333.96,24867267.580000002,0.001124949779027722,11.24949779027722,2,21,Ban ngày
47,8681,21,0,896077856.93,11942126.209999999,0.0024190761433014627,24.19076143301463,2,22,Ban đêm
48,5693,10,0,540938538.75,15502430.100000001,0.001756543123133673,17.565431231336728,2,23,Ban đêm
49,764,4,0,54845905.75,2270293.72,0.005235602094240838,52.35602094240838,3,0,Ban đêm
50,6,6,0,3345118.94,3345118.94,1.0,10000.0,3,1,Ban đêm
51,14,14,0,8313333.94,8313333.94,1.0,10000.0,3,2,Ban đêm
52,8,8,0,19349931.92,19349931.92,1.0,10000.0,3,3,Ban đêm
53,10,10,0,12617901.54,12617901.54,1.0,10000.0,3,4,Ban đêm
54,4,4,0,3577598.3600000003,3577598.3600000003,1.0,10000.0,3,5,Ban đêm
55,12,12,0,4969150.82,4969150.82,1.0,10000.0,3,6,Ban ngày
56,18,18,0,21799570.76,21799570.76,1.0,10000.0,3,7,Ban ngày
57,6,6,0,3053734.92,3053734.92,1.0,10000.0,3,8,Ban ngày
58,20,20,0,40832628.86,40832628.86,1.0,10000.0,3,9,Ban ngày
59,20,20,0,25707837.72,25707837.72,1.0,10000.0,3,10,Ban ngày
60,12,12,0,5051824.6,5051824.6,1.0,10000.0,3,11,Ban ngày
61,14,14,0,10326374.76,10326374.76,1.0,10000.0,3,12,Ban ngày
62,8,8,0,4512316.5600000005,4512316.5600000005,1.0,10000.0,3,13,Ban ngày
63,8,8,0,4106789.76,4106789.76,1.0,10000.0,3,14,Ban ngày
64,18,18,0,14681327.959999999,14681327.959999999,1.0,10000.0,3,15,Ban ngày
65,20,20,0,16326827.82,16326827.82,1.0,10000.0,3,16,Ban ngày
66,24,24,0,43525991.12,43525991.12,1.0,10000.0,3,17,Ban ngày
67,6,6,0,2354600.56,2354600.56,1.0,10000.0,3,18,Ban ngày
68,18,18,0,29882358.080000002,29882358.080000002,1.0,10000.0,3,19,Ban ngày
69,20,20,0,41458369.28,41458369.28,1.0,10000.0,3,20,Ban ngày
70,6,6,0,2941247.94,2941247.94,1.0,10000.0,3,21,Ban ngày
71,20,20,0,13655351.44,13655351.44,1.0,10000.0,3,22,Ban đêm
72,14,14,0,59848379.22,59848379.22,1.0,10000.0,3,23,Ban đêm
73,8,8,0,2582474.42,2582474.42,1.0,10000.0,4,0,Ban đêm
74,22,22,0,33794195.06,33794195.06,1.0,10000.0,4,1,Ban đêm
75,8,8,0,5970615.06,5970615.06,1.0,10000.0,4,2,Ban đêm
76,4,4,0,4152727.08,4152727.08,1.0,10000.0,4,3,Ban đêm
77,10,10,0,35925500.0,35925500.0,1.0,10000.0,4,4,Ban đêm
78,10,10,0,11208144.9,11208144.9,1.0,10000.0,4,5,Ban đêm
79,10,10,0,6261606.14,6261606.14,1.0,10000.0,4,6,Ban ngày
80,10,10,0,2992622.6,2992622.6,1.0,10000.0,4,7,Ban ngày
81,10,10,0,10202118.94,10202118.94,1.0,10000.0,4,8,Ban ngày
82,10,10,0,35812474.28,35812474.28,1.0,10000.0,4,9,Ban ngày
83,12,12,0,10608310.4,10608310.4,1.0,10000.0,4,10,Ban ngày
84,16,16,0,36611285.98,36611285.98,1.0,10000.0,4,11,Ban ngày
85,14,14,0,25618937.119999997,25618937.119999997,1.0,10000.0,4,12,Ban ngày
86,18,18,0,53565564.56,53565564.56,1.0,10000.0,4,13,Ban ngày
87,6,6,0,2627321.58,2627321.58,1.0,10000.0,4,14,Ban ngày
88,8,8,0,34628042.4,34628042.4,1.0,10000.0,4,15,Ban ngày
89,6,6,0,2157581.12,2157581.12,1.0,10000.0,4,16,Ban ngày
90,16,16,0,20774510.34,20774510.34,1.0,10000.0,4,17,Ban ngày
91,8,8,0,4339885.1,4339885.1,1.0,10000.0,4,18,Ban ngày
92,10,10,0,3754118.7600000002,3754118.7600000002,1.0,10000.0,4,19,Ban ngày
93,4444,16,0,608142230.27,17239467.22,0.0036003600360036,36.003600360036,4,20,Ban ngày
94,10372,12,0,1286675245.1200001,14574168.34,0.0011569610489780178,11.569610489780178,4,21,Ban ngày
95,6858,14,0,853594039.56,26309623.619999997,0.002041411490230388,20.41411490230388,4,22,Ban đêm
96,6350,4,0,738547809.8,36535521.0,0.0006299212598425197,6.299212598425196,4,23,Ban đêm
97,685,10,0,74683514.7,10905909.48,0.014598540145985401,145.98540145985402,5,0,Ban đêm
98,14,14,0,12891419.98,12891419.98,1.0,10000.0,5,1,Ban đêm
99,8,8,0,13044113.8,13044113.8,1.0,10000.0,5,2,Ban đêm
100,6,6,0,3013658.28,3013658.28,1.0,10000.0,5,3,Ban đêm
101,12,12,0,12062241.02,12062241.02,1.0,10000.0,5,4,Ban đêm
102,12,12,0,6442999.619999999,6442999.619999999,1.0,10000.0,5,5,Ban đêm
103,8,8,0,5482907.76,5482907.76,1.0,10000.0,5,6,Ban ngày
104,14,14,0,7764539.0,7764539.0,1.0,10000.0,5,7,Ban ngày
105,18,18,0,15487769.299999999,15487769.299999999,1.0,10000.0,5,8,Ban ngày
106,18,18,0,12407586.84,12407586.84,1.0,10000.0,5,9,Ban ngày
107,10,10,0,5062020.640000001,5062020.640000001,1.0,10000.0,5,10,Ban ngày
108,8,8,0,15526032.360000001,15526032.360000001,1.0,10000.0,5,11,Ban ngày
109,12,12,0,8388165.9399999995,8388165.9399999995,1.0,10000.0,5,12,Ban ngày
110,10,10,0,8845515.58,8845515.58,1.0,10000.0,5,13,Ban ngày
111,10,10,0,11801388.46,11801388.46,1.0,10000.0,5,14,Ban ngày
112,2,2,0,84837.7,84837.7,1.0,10000.0,5,15,Ban ngày
113,6,6,0,3976999.1,3976999.1,1.0,10000.0,5,16,Ban ngày
114,4,4,0,7748974.38,7748974.38,1.0,10000.0,5,17,Ban ngày
115,10,10,0,7226221.720000001,7226221.720000001,1.0,10000.0,5,18,Ban ngày
116,14,14,0,16376396.78,16376396.78,1.0,10000.0,5,19,Ban ngày
117,12,12,0,13355288.92,13355288.92,1.0,10000.0,5,20,Ban ngày
118,12,12,0,33446321.98,33446321.98,1.0,10000.0,5,21,Ban ngày
119,5740,10,0,652470324.75,7143604.24,0.0017421602787456446,17.421602787456447,5,22,Ban đêm
120,3144,12,0,377544600.44,6495665.24,0.003816793893129771,38.167938931297705,5,23,Ban đêm
121,1074,14,0,111898438.66,9846685.32,0.01303538175046555,130.3538175046555,6,0,Ban đêm
122,414,14,0,63367833.74,15003065.74,0.033816425120772944,338.1642512077294,6,1,Ban đêm
123,52,6,0,22572340.19,13972355.84,0.11538461538461539,1153.8461538461538,6,2,Ban đêm
124,4,4,0,22077380.04,22077380.04,1.0,10000.0,6,3,Ban đêm
125,10,10,0,18369419.18,18369419.18,1.0,10000.0,6,4,Ban đêm
126,6,6,0,14855403.24,14855403.24,1.0,10000.0,6,5,Ban đêm
127,14,14,0,22089204.56,22089204.56,1.0,10000.0,6,6,Ban ngày
128,8,8,0,15992485.52,15992485.52,1.0,10000.0,6,7,Ban ngày
