column,null_count,null_rate,empty_count,empty_rate,zero_count,zero_rate,negative_count,negative_rate,min,max
step,0,0.0,0,0.0,0,0.0,0,0.0,1.0,743.0
type,0,0.0,0,0.0,0,0.0,0,0.0,,
amount,0,0.0,0,0.0,16,2.51468734577894e-06,0,0.0,0.0,92445516.64
nameOrig,0,0.0,0,0.0,0,0.0,0,0.0,,
oldbalanceOrg,0,0.0,0,0.0,2102449,0.3304376184653492,0,0.0,0.0,59585040.37
newbalanceOrig,0,0.0,0,0.0,3609566,0.5673081214971191,0,0.0,0.0,49585040.37
nameDest,0,0.0,0,0.0,0,0.0,0,0.0,,
oldbalanceDest,0,0.0,0,0.0,2704388,0.42504314260477605,0,0.0,0.0,356015889.35
newbalanceDest,0,0.0,0,0.0,2439433,0.3834007059984723,0,0.0,0.0,356179278.92
isFraud,0,0.0,0,0.0,0,0.0,0,0.0,,
isFlaggedFraud,0,0.0,0,0.0,0,0.0,0,0.0,,
