step_day,row_count,fraud_count,flagged_fraud_count,amount_sum,fraud_amount_sum,fraud_rate,fraud_per_10k,fraud_amount_rate
1,574255,271,0,92131865625.65,211163827.46,0.00047191578654082243,4.719157865408224,0.002291973857535898
2,455238,309,0,71238642397.16,379239685.07,0.0006787658323777892,6.787658323777892,0.0053235108405872535
3,1070,310,0,447084472.63,394508860.6,0.2897196261682243,2897.196261682243,0.8824034041694159
4,28240,262,0,3830547360.59,438246816.02,0.009277620396600567,92.77620396600567,0.11440840557901338
5,9789,252,0,1325133839.05,244980578.12,0.025743181121667177,257.43181121667175,0.18487232828921546
6,441005,228,0,73409986368.34,367233582.40000004,0.0005170009410324146,5.1700094103241465,0.005002501710835071
7,420583,272,0,67070777584.770004,401790128.79999995,0.0006467213368110456,6.467213368110456,0.0059905392969715
8,449637,278,0,70030598500.48,351994017.01,0.0006182765208379204,6.1827652083792035,0.005026288858684927
9,417919,255,1,58067765398.42,384571254.76,0.0006101660848154786,6.101660848154786,0.006622801000199399
10,392945,282,0,65190352177.020004,373060698.37,0.000717657687462622,7.17657687462622,0.005722636646554368
11,417859,262,1,60328661711.600006,420456884.74,0.0006270057603162789,6.2700576031627895,0.006969438287061397
12,349776,298,1,57988498474.36,427983144.39,0.0008519738346827684,8.519738346827685,0.007380483296687455
13,428583,242,0,138673068091.95,424150490.41999996,0.0005646514210782976,5.646514210782976,0.0030586363758733476
14,397876,246,0,100037360294.78,273871833.92,0.0006182830831716414,6.182830831716414,0.0027376955280805303
15,401282,250,0,77472364656.07,389990810.72,0.0006230032745052108,6.230032745052108,0.005033934519119445
16,375594,252,0,67890541472.4,335599134.8,0.0006709372354190961,6.709372354190961,0.004943238447088147
17,425766,320,1,74250134002.79999,636928450.15,0.0007515865522376141,7.515865522376141,0.008578145463360123
18,20999,268,2,3711531300.35,544666009.37,0.012762512500595267,127.62512500595267,0.14674967427019614
19,11300,256,0,1936895543.14,460728183.88,0.02265486725663717,226.5486725663717,0.23786940163695666
20,19727,236,0,3596373218.52,276683328.7,0.01196329903178385,119.6329903178385,0.0769339865159663
21,24593,272,0,4840421321.64,389222618.62,0.01106005774000732,110.60057740007319,0.0804108966465188
22,53437,256,0,9515278618.26,408818642.14,0.0047906881000056144,47.906881000056146,0.04296444261290145
23,51012,216,0,8194745997.95,219389372.0,0.004234297812279464,42.34297812279464,0.026771955110613862
24,32709,280,1,5243509370.05,334491241.74,0.008560335075972973,85.60335075972974,0.06379148355308659
25,57853,240,1,9177487327.86,308205485.56,0.004148445197310425,41.48445197310425,0.03358277429862353
26,13885,272,1,2228709706.33,395936994.59,0.019589485055815627,195.89485055815626,0.17765301307095152
27,8578,280,2,1756268796.76,437595788.12,0.03264164140825367,326.41641408253673,0.24916219483446128
28,14661,248,1,3006718037.76,377872026.36,0.016915626492053748,169.15626492053747,0.12567591028306532
29,54890,260,0,9357636452.07,501946774.66,0.004736746219712151,47.36746219712151,0.05364033719743029
30,11287,268,1,1995900406.17,497002529.51,0.023744130415522282,237.4413041552228,0.24901168814515887
31,272,272,3,448086234.84,448086234.84,1.0,10000.0,1.0
